,timestamp,open,high,low,close,volume,time_diff_in_days,time_diff_in_min
0,2017-08-17,4261.48,4485.39,4200.74,4285.08,795.150377,,
1,2017-08-18,4285.08,4371.52,3938.77,4108.37,1199.888264,1.0,0.0
2,2017-08-19,4108.37,4184.69,3850.0,4139.98,381.309763,1.0,0.0
3,2017-08-20,4120.98,4211.08,4032.62,4086.29,467.083022,1.0,0.0
4,2017-08-21,4069.13,4119.62,3911.79,4016.0,691.74306,1.0,0.0
5,2017-08-22,4016.0,4104.82,3400.0,4040.0,966.684858,1.0,0.0
6,2017-08-23,4040.0,4265.8,4013.89,4114.01,1001.136565,1.0,0.0
7,2017-08-24,4147.0,4371.68,4085.01,4316.01,787.418753,1.0,0.0
8,2017-08-25,4316.01,4453.91,4247.48,4280.68,573.61274,1.0,0.0
9,2017-08-26,4280.71,4367.0,4212.41,4337.44,228.108068,1.0,0.0
10,2017-08-27,4332.51,4400.0,4285.54,4310.01,350.692585,1.0,0.0
11,2017-08-28,4310.01,4399.82,4124.54,4386.69,603.841616,1.0,0.0
12,2017-08-29,4353.65,4625.85,4313.55,4587.48,603.545028,1.0,0.0
13,2017-08-30,4564.52,4647.51,4416.01,4555.14,808.468771,1.0,0.0
14,2017-08-31,4555.14,4745.42,4555.14,4724.89,556.956802,1.0,0.0
15,2017-09-01,4689.89,4885.55,4654.88,4834.91,560.666366,1.0,0.0
16,2017-09-02,4796.16,4939.19,4286.87,4472.14,929.148595,1.0,0.0
17,2017-09-03,4508.5,4714.76,4298.33,4509.08,691.216198,1.0,0.0
18,2017-09-04,4505.0,4527.49,3972.51,4100.11,1394.644614,1.0,0.0
19,2017-09-05,4106.97,4484.99,3603.0,4366.47,1228.938157,1.0,0.0
20,2017-09-06,4366.49,4662.87,4335.26,4619.77,807.363726,1.0,0.0
21,2017-09-07,4619.77,4788.59,4438.19,4691.61,500.429975,1.0,0.0
22,2017-09-08,4691.66,4735.39,4028.93,4282.8,1132.255046,1.0,0.0
23,2017-09-09,4282.8,4426.62,4150.06,4258.81,658.782952,1.0,0.0
24,2017-09-10,4258.81,4283.0,3801.0,4130.37,660.373275,1.0,0.0
25,2017-09-11,4153.62,4334.43,4098.91,4208.47,699.989065,1.0,0.0
